sessionId;userId;itemId;timeframe;eventdate
17804;14932.0;173917;24235;2016-03-07
17804;14932.0;127344;15730;2016-03-07
17804;14932.0;131045;201486;2016-03-07
108648;14932.0;2057;865718;2016-05-28
108648;14932.0;42973;712401;2016-05-28
108648;14932.0;104007;257888;2016-05-28
108648;14932.0;107377;141057;2016-05-28
108648;14932.0;60852;406453;2016-05-28
108648;14932.0;137756;811379;2016-05-28
108648;14932.0;78893;920704;2016-05-28
108648;14932.0;78893;1186531;2016-05-28
108648;14932.0;25863;56836;2016-05-28
108648;14932.0;25863;942857;2016-05-28
141184;14932.0;22894;54338;2016-05-26
141184;14932.0;22894;322118;2016-05-26
141184;14932.0;22894;131533;2016-05-26
141184;14932.0;118620;256416;2016-05-26
141184;14932.0;118620;329888;2016-05-26
141184;14932.0;257176;388680;2016-05-26
141184;14932.0;65203;113089;2016-05-26
141184;14932.0;77168;360453;2016-05-26
246357;14932.0;281218;217150;2016-05-25
246357;14932.0;95808;94171;2016-05-25
246357;14932.0;95808;512511;2016-05-25
246357;14932.0;72190;65822;2016-05-25
246357;14932.0;265783;388453;2016-05-25
246357;14932.0;77168;244636;2016-05-25
299287;14932.0;3395;99193;2016-05-13
299287;14932.0;33313;61904;2016-05-13
331986;14932.0;11338;373740;2016-03-04
331986;14932.0;11338;173743;2016-03-04
331986;14932.0;11338;44157;2016-03-04
368485;14932.0;36269;40511;2016-05-08
470676;14932.0;22894;759885;2016-05-28
470676;14932.0;22894;222457;2016-05-28
470676;14932.0;118620;253526;2016-05-28
470676;14932.0;118620;892611;2016-05-28
470676;14932.0;11057;718651;2016-05-28
470676;14932.0;11057;800444;2016-05-28
470676;14932.0;11057;889361;2016-05-28
470676;14932.0;1443;823254;2016-05-28
470676;14932.0;3395;931370;2016-05-28
470676;14932.0;3395;80733;2016-05-28
470676;14932.0;3395;239841;2016-05-28
470676;14932.0;3395;894582;2016-05-28
