sessionId;userId;itemId;timeframe;eventdate
33437;18154.0;11859;6628;2016-04-28
66270;18154.0;129212;95460;2016-04-06
66270;18154.0;144653;165764;2016-04-06
66270;18154.0;418572;392523;2016-04-06
66270;18154.0;378401;331540;2016-04-06
66270;18154.0;378401;326320;2016-04-06
113961;18154.0;36246;9366;2016-02-18
207064;18154.0;80317;13691;2016-04-09
207064;18154.0;100746;399967;2016-04-09
207064;18154.0;10607;94110;2016-04-09
207064;18154.0;378401;945387;2016-04-09
226227;18154.0;3147;163678;2016-05-01
226227;18154.0;80317;69391;2016-05-01
226227;18154.0;80317;7895;2016-05-01
226227;18154.0;80317;828551;2016-05-01
226227;18154.0;80317;696965;2016-05-01
226227;18154.0;80317;673674;2016-05-01
226227;18154.0;80317;1178698;2016-05-01
226227;18154.0;51096;654377;2016-05-01
226227;18154.0;122060;777000;2016-05-01
226227;18154.0;67699;769243;2016-05-01
226227;18154.0;47035;785914;2016-05-01
242477;18154.0;65098;286549;2016-05-23
242477;18154.0;17799;278741;2016-05-23
242477;18154.0;17800;285143;2016-05-23
242477;18154.0;181711;12778;2016-05-23
243201;18154.0;81751;21848;2016-04-14
243201;18154.0;52072;97899;2016-04-14
243201;18154.0;416527;17097;2016-04-14
244067;18154.0;165862;20518;2016-04-26
285017;18154.0;21305;610434;2016-05-03
285017;18154.0;21305;1077878;2016-05-03
285017;18154.0;31451;1074517;2016-05-03
285017;18154.0;378484;167577;2016-05-03
285017;18154.0;399449;162898;2016-05-03
285017;18154.0;378588;16078;2016-05-03
292550;18154.0;9893;44917;2016-04-20
293527;18154.0;25925;505909;2016-02-10
293527;18154.0;32190;212724;2016-02-10
293527;18154.0;52259;521053;2016-02-10
293527;18154.0;52259;831527;2016-02-10
293527;18154.0;53294;29811;2016-02-10
293527;18154.0;53294;119965;2016-02-10
293527;18154.0;53294;7561;2016-02-10
293527;18154.0;53294;226638;2016-02-10
293527;18154.0;53294;84153;2016-02-10
293527;18154.0;102234;543755;2016-02-10
345159;18154.0;249528;8331;2016-04-09
345159;18154.0;418572;193381;2016-04-09
352484;18154.0;347182;1008200;2016-04-09
352484;18154.0;155035;895029;2016-04-09
352484;18154.0;43552;1109016;2016-04-09
352484;18154.0;180153;48210;2016-04-09
355157;18154.0;48576;332121;2016-03-20
355157;18154.0;11723;331105;2016-03-20
355157;18154.0;34530;392402;2016-03-20
355157;18154.0;126346;54496;2016-03-20
357695;18154.0;176612;285037;2016-06-01
371582;18154.0;48576;13785;2016-03-21
371582;18154.0;66770;725134;2016-03-21
371582;18154.0;34530;146086;2016-03-21
380138;18154.0;10234;43843;2016-05-03
380138;18154.0;31080;805721;2016-05-03
380138;18154.0;343899;285190;2016-05-03
380138;18154.0;195540;158661;2016-05-03
392882;18154.0;65868;22310;2016-05-14
392882;18154.0;14707;19711;2016-05-14
507200;18154.0;1183;309450;2016-02-11
507200;18154.0;31638;27038;2016-02-11
507200;18154.0;52259;165990;2016-02-11
507200;18154.0;53294;36448;2016-02-11
527598;18154.0;81377;153180;2016-04-24
527598;18154.0;21305;9463;2016-04-24
527598;18154.0;31451;220781;2016-04-24
527598;18154.0;175042;311016;2016-04-24
527598;18154.0;378386;422637;2016-04-24
527598;18154.0;380557;421025;2016-04-24
527598;18154.0;381229;1114624;2016-04-24
527598;18154.0;418944;1057629;2016-04-24
537309;18154.0;12647;598957;2016-04-29
545629;18154.0;80317;27308;2016-05-26
545629;18154.0;21796;9390;2016-05-26
